g,season,opp,w/l,tm,opp_score,fg,fga,fg_percentage,three_points,three_point_attempts,three_point_percentage,ft,fta,free_throw_percentage,orb,trb,ast,stl,blk,tov,pf,drb,two_point_percentage,id
72,2021-22,DEN,W,124,104,47,82,0.573,19,40,0.475,11,11,1.0,5,38,29,4,6,8,18,33,0.667,93
71,2021-22,SAC,W,126,97,46,82,0.561,22,40,0.55,12,17,0.706,6,43,33,11,1,13,23,37,0.571,94
70,2021-22,GSW,W,110,88,38,81,0.469,15,40,0.375,19,22,0.864,8,53,23,4,4,10,15,45,0.561,95
69,2021-22,DAL,L,92,95,33,88,0.375,9,37,0.243,17,19,0.895,11,45,16,8,3,11,12,34,0.471,96
68,2021-22,DET,W,114,103,42,90,0.467,6,32,0.188,24,30,0.8,13,47,23,10,3,9,19,34,0.621,97
67,2021-22,CHO,W,115,101,46,93,0.495,12,37,0.324,11,14,0.786,16,47,30,10,8,11,20,31,0.607,98
66,2021-22,BRK,W,126,120,40,83,0.482,17,36,0.472,29,38,0.763,10,37,25,9,7,10,19,27,0.489,99
65,2021-22,MEM,W,120,107,46,89,0.517,16,37,0.432,12,15,0.8,15,51,33,4,7,14,15,36,0.577,100
64,2021-22,ATL,W,107,98,39,83,0.47,11,35,0.314,18,19,0.947,11,47,27,4,8,12,20,36,0.583,101
63,2021-22,IND,L,107,128,39,91,0.429,12,43,0.279,17,20,0.85,12,40,25,5,9,10,13,28,0.562,102
62,2021-22,DET,W,113,104,42,88,0.477,10,26,0.385,19,21,0.905,10,37,31,5,6,10,21,27,0.516,103
61,2021-22,BRK,W,129,106,46,85,0.541,17,42,0.405,20,27,0.741,8,48,28,9,3,13,20,40,0.674,104
60,2021-22,DET,L,111,112,42,77,0.545,13,32,0.406,14,18,0.778,2,30,29,8,6,15,14,28,0.644,105
59,2021-22,PHI,W,135,87,46,82,0.561,25,45,0.556,18,22,0.818,7,51,28,2,10,9,25,44,0.568,106
58,2021-22,ATL,W,105,95,36,85,0.424,11,38,0.289,22,27,0.815,12,54,21,5,6,12,15,42,0.532,107
57,2021-22,DEN,W,108,102,38,96,0.396,10,37,0.27,22,30,0.733,18,54,24,13,8,12,20,36,0.475,108
56,2021-22,BRK,W,126,91,50,91,0.549,14,40,0.35,12,16,0.75,11,52,32,6,8,13,14,41,0.706,109
55,2021-22,ORL,W,116,83,45,99,0.455,13,46,0.283,13,14,0.929,16,55,29,9,6,14,17,39,0.604,110
54,2021-22,DET,W,102,93,37,82,0.451,9,28,0.321,19,25,0.76,11,55,23,4,9,13,17,44,0.519,111
53,2021-22,CHO,W,113,107,42,82,0.512,14,36,0.389,15,17,0.882,6,42,31,9,5,18,21,36,0.609,112
52,2021-22,MIA,W,122,92,44,84,0.524,16,42,0.381,18,27,0.667,9,44,24,9,6,10,15,35,0.667,113
51,2021-22,NOP,W,107,97,43,81,0.531,14,41,0.341,7,11,0.636,6,43,31,6,7,14,19,37,0.725,114
50,2021-22,ATL,L,92,108,30,86,0.349,7,36,0.194,25,27,0.926,16,52,15,5,8,16,25,36,0.46,115
49,2021-22,SAC,W,128,75,51,103,0.495,20,45,0.444,6,7,0.857,17,67,32,6,6,11,12,50,0.534,116
48,2021-22,WAS,W,116,87,40,90,0.444,19,39,0.487,17,21,0.81,11,57,26,5,3,13,16,46,0.412,117
47,2021-22,POR,L,105,109,37,82,0.451,11,37,0.297,20,23,0.87,8,42,25,7,7,11,24,34,0.578,118
46,2021-22,CHO,L,102,111,39,90,0.433,14,46,0.304,10,13,0.769,8,38,27,8,3,14,20,30,0.568,119
45,2021-22,NOP,W,104,92,38,80,0.475,10,32,0.313,18,20,0.9,5,47,22,6,4,14,18,42,0.583,120
44,2021-22,CHI,W,114,112,44,90,0.489,9,26,0.346,17,19,0.895,17,50,27,6,6,11,15,33,0.547,121
43,2021-22,PHI,L,99,111,37,78,0.474,11,31,0.355,14,18,0.778,7,44,20,4,4,20,21,37,0.553,122
42,2021-22,IND,W,119,100,40,78,0.513,18,38,0.474,21,25,0.84,7,37,23,6,5,11,22,30,0.55,123
41,2021-22,IND,W,101,98,35,88,0.398,8,28,0.286,23,28,0.821,12,53,17,10,6,20,19,41,0.45,124
40,2021-22,NYK,W,99,75,36,76,0.474,12,29,0.414,15,17,0.882,9,45,26,8,8,10,15,36,0.511,125
39,2021-22,NYK,L,105,108,38,80,0.475,17,45,0.378,12,13,0.923,8,38,22,5,10,12,16,30,0.6,126
38,2021-22,SAS,L,97,99,40,90,0.444,9,28,0.321,8,9,0.889,13,41,19,10,9,8,12,28,0.5,127
37,2021-22,ORL,W,116,111,39,86,0.453,13,36,0.361,25,28,0.893,9,46,25,5,10,21,23,37,0.52,128
36,2021-22,PHO,W,123,108,45,83,0.542,10,27,0.37,23,26,0.885,13,51,28,6,7,17,18,38,0.625,129
35,2021-22,LAC,L,82,91,35,101,0.347,4,42,0.095,8,11,0.727,21,50,19,8,8,8,16,29,0.525,130
34,2021-22,MIN,L,103,108,33,89,0.371,16,47,0.34,21,28,0.75,15,53,23,8,10,14,16,38,0.405,131
33,2021-22,MIL,L,113,117,38,89,0.427,17,45,0.378,20,24,0.833,11,44,24,9,8,14,23,33,0.477,132
32,2021-22,CLE,W,111,101,43,92,0.467,11,30,0.367,14,18,0.778,12,48,24,12,5,13,24,36,0.516,133
31,2021-22,PHI,L,103,108,38,82,0.463,7,27,0.259,20,25,0.8,11,42,16,9,5,18,23,31,0.564,134
30,2021-22,NYK,W,114,107,42,89,0.472,17,45,0.378,13,17,0.765,12,45,23,6,3,12,20,33,0.568,135
29,2021-22,GSW,L,107,111,36,82,0.439,15,41,0.366,20,29,0.69,11,45,20,5,2,16,19,34,0.512,136
28,2021-22,MIL,W,117,103,43,86,0.5,20,47,0.426,11,13,0.846,7,40,31,6,5,11,15,33,0.59,137
27,2021-22,PHO,L,90,111,35,93,0.376,4,26,0.154,16,24,0.667,15,46,13,7,6,13,17,31,0.463,138
26,2021-22,LAC,L,111,114,41,86,0.477,10,32,0.313,19,21,0.905,14,47,26,11,3,22,21,33,0.574,139
25,2021-22,LAL,L,102,117,36,82,0.439,10,33,0.303,20,29,0.69,7,34,27,8,4,13,16,27,0.531,140
24,2021-22,POR,W,145,117,49,87,0.563,21,37,0.568,26,29,0.897,12,46,26,5,7,11,21,34,0.56,141
23,2021-22,UTA,L,130,137,47,91,0.516,14,39,0.359,22,22,1.0,5,30,23,9,3,6,22,25,0.635,142
22,2021-22,PHI,W,88,87,33,79,0.418,11,28,0.393,11,15,0.733,4,46,18,5,8,13,15,42,0.431,143
21,2021-22,TOR,W,109,97,34,82,0.415,12,34,0.353,29,31,0.935,12,53,24,5,3,17,19,41,0.458,144
20,2021-22,SAS,L,88,96,34,92,0.37,10,34,0.294,10,15,0.667,12,51,20,4,8,10,20,39,0.414,145
19,2021-22,BRK,L,104,123,34,91,0.374,11,48,0.229,25,28,0.893,15,45,25,6,5,11,24,30,0.535,146
18,2021-22,HOU,W,108,90,39,92,0.424,12,35,0.343,18,19,0.947,11,58,19,10,3,14,24,47,0.474,147
17,2021-22,OKC,W,111,105,41,88,0.466,17,39,0.436,12,14,0.857,8,48,28,4,7,7,11,40,0.49,148
16,2021-22,LAL,W,130,108,44,88,0.5,11,30,0.367,31,38,0.816,12,51,22,7,2,12,20,39,0.569,149
15,2021-22,ATL,L,99,110,37,84,0.44,11,41,0.268,14,17,0.824,12,42,24,9,2,14,17,30,0.605,150
14,2021-22,CLE,W,98,92,36,78,0.462,10,29,0.345,16,20,0.8,6,46,23,7,6,14,16,40,0.531,151
13,2021-22,CLE,L,89,91,33,78,0.423,6,23,0.261,17,18,0.944,10,47,20,7,3,19,16,37,0.491,152
12,2021-22,MIL,W,122,113,47,96,0.49,12,41,0.293,16,18,0.889,16,53,22,5,7,16,12,37,0.636,153
11,2021-22,TOR,W,104,88,42,94,0.447,10,29,0.345,10,15,0.667,12,44,21,10,5,15,13,32,0.492,154
10,2021-22,DAL,L,104,107,42,86,0.488,9,31,0.29,11,16,0.688,8,36,20,6,2,11,14,28,0.6,155
9,2021-22,MIA,W,95,78,31,78,0.397,16,41,0.39,17,20,0.85,11,46,16,7,4,16,16,35,0.405,156
8,2021-22,ORL,W,92,79,33,79,0.418,10,37,0.27,16,25,0.64,9,50,24,7,9,11,20,41,0.548,157
7,2021-22,CHI,L,114,128,42,96,0.438,15,33,0.455,15,20,0.75,13,38,20,10,1,9,15,25,0.429,158
6,2021-22,WAS,L,112,115,44,107,0.411,2,26,0.077,22,25,0.88,8,54,23,8,10,11,32,46,0.519,159
5,2021-22,WAS,L,107,116,37,85,0.435,10,29,0.345,23,28,0.821,10,37,18,9,5,13,21,27,0.482,160
4,2021-22,CHO,W,140,129,50,101,0.495,19,50,0.38,21,25,0.84,11,53,33,8,9,12,23,42,0.608,161
3,2021-22,HOU,W,107,97,38,86,0.442,15,47,0.319,16,20,0.8,6,43,22,10,6,11,22,37,0.59,162
2,2021-22,TOR,L,83,115,32,82,0.39,11,34,0.324,8,11,0.727,10,42,19,6,12,25,19,32,0.438,163
1,2021-22,NYK,L,134,138,48,117,0.41,21,57,0.368,17,23,0.739,15,56,34,13,9,18,24,41,0.45,164
72,2020-21,NYK,L,92,96,35,86,0.407,11,41,0.268,11,15,0.733,9,46,19,4,6,12,19,37,0.533,165
71,2020-21,MIN,W,124,108,46,95,0.484,18,42,0.429,14,18,0.778,9,44,27,8,6,14,24,35,0.528,166
70,2020-21,CLE,L,94,102,36,101,0.356,12,41,0.293,10,14,0.714,13,46,14,9,8,7,23,33,0.4,167
69,2020-21,MIA,L,121,129,46,88,0.523,18,37,0.486,11,17,0.647,3,32,31,8,5,11,21,29,0.549,168
68,2020-21,MIA,L,124,130,45,83,0.542,14,38,0.368,20,25,0.8,6,34,29,7,3,14,22,28,0.689,169
67,2020-21,CHI,L,99,121,35,86,0.407,11,39,0.282,18,23,0.783,11,47,19,5,8,13,15,36,0.511,170
66,2020-21,ORL,W,132,96,51,96,0.531,21,45,0.467,9,12,0.75,9,45,28,8,9,11,23,36,0.588,171
65,2020-21,POR,L,119,129,43,89,0.483,20,39,0.513,13,15,0.867,10,45,29,3,6,18,21,35,0.46,172
64,2020-21,SAS,W,143,140,49,105,0.467,18,38,0.474,27,36,0.75,17,52,31,7,7,13,26,35,0.463,173
63,2020-21,CHO,W,120,111,44,92,0.478,15,40,0.375,17,22,0.773,19,54,26,9,8,14,24,35,0.558,174
62,2020-21,OKC,L,115,119,41,97,0.423,11,49,0.224,22,25,0.88,8,39,21,16,7,14,26,31,0.625,175
61,2020-21,CHO,L,104,125,34,88,0.386,14,41,0.341,22,26,0.846,11,41,18,6,2,13,13,30,0.426,176
60,2020-21,BRK,L,104,109,38,94,0.404,17,42,0.405,11,16,0.688,15,54,21,6,6,19,20,39,0.404,177
59,2020-21,PHO,W,99,86,33,77,0.429,12,40,0.3,21,24,0.875,10,48,20,7,2,20,12,38,0.568,178
58,2020-21,CHI,L,96,102,36,77,0.468,10,25,0.4,14,15,0.933,3,39,21,8,3,15,15,36,0.5,179
57,2020-21,GSW,W,119,114,44,94,0.468,15,46,0.326,16,20,0.8,14,45,18,9,2,9,18,31,0.604,180
56,2020-21,LAL,W,121,113,48,85,0.565,14,32,0.438,11,13,0.846,7,48,33,4,6,21,20,41,0.642,181
55,2020-21,POR,W,116,115,42,90,0.467,15,35,0.429,17,24,0.708,9,46,30,5,4,9,19,37,0.491,182
54,2020-21,DEN,W,105,87,39,87,0.448,7,33,0.212,20,23,0.87,10,52,20,4,7,9,18,42,0.593,183
53,2020-21,MIN,W,145,136,47,87,0.54,19,42,0.452,32,34,0.941,9,45,32,9,5,20,25,36,0.622,184
52,2020-21,NYK,W,101,99,36,86,0.419,15,40,0.375,14,20,0.7,16,53,22,6,7,17,14,37,0.457,185
51,2020-21,PHI,L,96,106,33,70,0.471,14,34,0.412,16,18,0.889,3,32,19,5,6,20,22,29,0.528,186
50,2020-21,CHO,W,116,86,43,94,0.457,21,54,0.389,9,11,0.818,14,44,29,11,5,6,20,30,0.55,187
49,2020-21,HOU,W,118,102,46,88,0.523,17,41,0.415,9,12,0.75,11,50,35,9,7,13,22,39,0.617,188
48,2020-21,DAL,L,108,113,39,94,0.415,11,47,0.234,19,23,0.826,8,36,20,11,2,9,19,28,0.596,189
47,2020-21,NOP,L,109,115,40,93,0.43,14,43,0.326,15,19,0.789,12,46,21,5,9,14,25,34,0.52,190
46,2020-21,OKC,W,111,94,44,96,0.458,12,38,0.316,11,14,0.786,10,52,22,10,4,12,19,42,0.552,191
45,2020-21,MIL,W,122,114,43,88,0.489,22,47,0.468,14,16,0.875,8,44,27,10,8,14,16,36,0.512,192
44,2020-21,MIL,L,119,121,45,94,0.479,19,47,0.404,10,10,1.0,9,38,24,9,6,12,15,29,0.553,193
43,2020-21,MEM,L,126,132,47,90,0.522,17,35,0.486,15,24,0.625,5,43,31,3,6,12,18,38,0.545,194
